epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,14439.4,0.00901,0.01724,2.03273,1.33861,0.50674,0.36054,0.35017,0.1929,0.51324,0.37088,0.35413,0.17605,0.01134,0.01875,2.25989,1.61236,0.001289,0.001289,0.001289
81,14620.1,0.00887,0.01725,1.98091,1.31981,0.53517,0.36149,0.36446,0.19666,0.54342,0.36757,0.36932,0.18017,0.01158,0.01849,2.25466,1.62796,0.00128,0.00128,0.00128
82,14799.4,0.00884,0.01711,2.03836,1.32914,0.71427,0.28038,0.36515,0.1982,0.72231,0.28561,0.37273,0.17864,0.01154,0.01807,2.20593,1.63168,0.001271,0.001271,0.001271
83,14979.7,0.0087,0.01694,1.97064,1.29854,0.57624,0.34164,0.35212,0.19903,0.58182,0.34793,0.35886,0.18199,0.01135,0.01861,2.241,1.61458,0.001262,0.001262,0.001262
84,15162.3,0.00896,0.01747,2.01924,1.33597,0.50802,0.30636,0.3486,0.18803,0.51023,0.30761,0.35388,0.1665,0.01154,0.0187,2.24502,1.63039,0.001253,0.001253,0.001253
85,15344.6,0.00879,0.01699,2.007,1.31945,0.53187,0.34943,0.36051,0.18858,0.54273,0.33945,0.36231,0.17334,0.01194,0.01912,2.2596,1.66567,0.001244,0.001244,0.001244
86,15525.5,0.00868,0.01684,1.94725,1.29935,0.50174,0.35339,0.35295,0.19389,0.52675,0.37499,0.37631,0.17612,0.0115,0.01857,2.20822,1.60339,0.001235,0.001235,0.001235
87,15707.6,0.00885,0.01706,1.96244,1.32782,0.4216,0.38073,0.37156,0.20112,0.42839,0.38843,0.3724,0.17381,0.01153,0.0185,2.22563,1.61073,0.001226,0.001226,0.001226
88,15890.5,0.00875,0.01713,1.98879,1.31865,0.39804,0.39868,0.36556,0.19347,0.40133,0.40204,0.36547,0.16883,0.01154,0.01845,2.17346,1.60961,0.001217,0.001217,0.001217
89,16080.1,0.00872,0.01698,1.96358,1.32687,0.3957,0.33238,0.35172,0.19305,0.39445,0.34047,0.35949,0.17655,0.0113,0.01822,2.18338,1.6094,0.001208,0.001208,0.001208
90,16261.7,0.00875,0.01695,2.00815,1.32913,0.50893,0.35858,0.36184,0.18457,0.50876,0.35923,0.35961,0.16695,0.01148,0.01875,2.17031,1.58934,0.001199,0.001199,0.001199
91,16443.3,0.00868,0.01692,1.95385,1.31424,0.52019,0.31275,0.34711,0.18146,0.53348,0.3041,0.35526,0.16225,0.01185,0.01904,2.25043,1.64074,0.00119,0.00119,0.00119
92,16627.4,0.0088,0.01691,1.94706,1.30626,0.44818,0.41798,0.38474,0.20668,0.45006,0.38019,0.37554,0.18473,0.01149,0.01918,2.22335,1.62264,0.001181,0.001181,0.001181
93,16810,0.00876,0.01718,1.96163,1.31549,0.58139,0.33353,0.40126,0.21092,0.58167,0.341,0.39834,0.18562,0.01141,0.01859,2.17572,1.60058,0.001172,0.001172,0.001172
94,16997.3,0.00879,0.01727,1.98071,1.34065,0.40746,0.31818,0.35284,0.18342,0.4187,0.31258,0.35403,0.16853,0.01157,0.01907,2.21543,1.58617,0.001163,0.001163,0.001163
95,17178.8,0.00857,0.01689,1.94735,1.32608,0.59303,0.30043,0.37743,0.19964,0.58607,0.30296,0.37144,0.17643,0.0116,0.01857,2.16895,1.62462,0.001154,0.001154,0.001154
96,17361.2,0.00856,0.01678,1.88748,1.30032,0.41434,0.31437,0.36894,0.20338,0.41588,0.31319,0.36026,0.17215,0.01147,0.01863,2.19525,1.61699,0.001145,0.001145,0.001145
97,17543.2,0.00862,0.01708,1.9313,1.30928,0.64255,0.34958,0.41574,0.22796,0.63404,0.34395,0.40515,0.1878,0.0116,0.01884,2.21497,1.63278,0.001136,0.001136,0.001136
98,17723.9,0.0086,0.01668,1.89775,1.29412,0.40611,0.41144,0.36854,0.18948,0.40956,0.41569,0.37083,0.17191,0.01195,0.01851,2.26293,1.64463,0.001127,0.001127,0.001127
99,17905.8,0.00857,0.01692,1.90623,1.29089,0.53147,0.31437,0.37022,0.19513,0.52502,0.32786,0.36788,0.17471,0.01154,0.01876,2.19916,1.59786,0.001118,0.001118,0.001118
100,18087,0.00861,0.01691,1.89317,1.29758,0.39971,0.38073,0.37721,0.19275,0.39376,0.3786,0.36949,0.17761,0.01177,0.01886,2.16621,1.61995,0.001109,0.001109,0.001109
101,18265.6,0.00848,0.01693,1.91769,1.29512,0.64631,0.29197,0.38463,0.20041,0.66564,0.29036,0.38948,0.1834,0.01171,0.01874,2.19145,1.61813,0.0011,0.0011,0.0011
102,18448.8,0.00857,0.01677,1.92713,1.3146,0.56693,0.32155,0.36769,0.18555,0.57118,0.32522,0.36437,0.16734,0.01176,0.01858,2.24033,1.65174,0.001091,0.001091,0.001091
103,18631.3,0.00848,0.01683,1.87409,1.29019,0.52898,0.31298,0.35711,0.18507,0.53345,0.30653,0.35838,0.16892,0.01179,0.0187,2.20393,1.62178,0.001082,0.001082,0.001082
104,18813.3,0.00848,0.01668,1.88798,1.30079,0.52738,0.28489,0.35875,0.17987,0.52879,0.28614,0.3551,0.15906,0.01182,0.019,2.21726,1.64306,0.001073,0.001073,0.001073
105,18995.9,0.00845,0.01675,1.87997,1.30242,0.40903,0.45011,0.39168,0.2016,0.41081,0.45239,0.38559,0.18262,0.01182,0.0188,2.16736,1.65541,0.001064,0.001064,0.001064
106,19177.7,0.0086,0.01691,1.91136,1.31196,0.30039,0.38428,0.34206,0.17429,0.30827,0.38816,0.34656,0.15668,0.0118,0.01883,2.24991,1.64475,0.001055,0.001055,0.001055
107,19356.5,0.00869,0.01698,1.94092,1.31739,0.32727,0.41397,0.37408,0.19644,0.32631,0.41011,0.36321,0.17052,0.01161,0.01868,2.14547,1.59818,0.001046,0.001046,0.001046
108,19536.2,0.00844,0.01664,1.84638,1.28489,0.63012,0.41373,0.39913,0.21065,0.62698,0.41677,0.40528,0.18557,0.01171,0.01875,2.15273,1.62093,0.001037,0.001037,0.001037
109,19714.5,0.00849,0.01669,1.86907,1.30106,0.55773,0.39523,0.39761,0.2106,0.55577,0.39665,0.40243,0.18713,0.01149,0.01841,2.17708,1.6007,0.001028,0.001028,0.001028
110,19892.3,0.00862,0.01673,1.86667,1.31084,0.72816,0.26054,0.39028,0.19575,0.72978,0.26421,0.38503,0.1841,0.01186,0.01877,2.13437,1.64019,0.001019,0.001019,0.001019
111,20070.6,0.00858,0.01666,1.85853,1.30075,0.36633,0.43601,0.38982,0.20205,0.38117,0.43819,0.3907,0.18198,0.01188,0.01825,2.1617,1.64615,0.00101,0.00101,0.00101
112,20250.1,0.00847,0.01679,1.87018,1.28631,0.55376,0.3831,0.40059,0.20099,0.56282,0.38996,0.40549,0.17828,0.01162,0.01868,2.08253,1.60036,0.001001,0.001001,0.001001
113,20431.7,0.00857,0.01685,1.85692,1.28736,0.7695,0.31801,0.38812,0.20578,0.80426,0.29378,0.37963,0.18415,0.01134,0.01887,2.17417,1.58594,0.000992,0.000992,0.000992
114,20614.3,0.00827,0.01675,1.81343,1.26684,0.52871,0.41528,0.42009,0.225,0.51446,0.37419,0.41977,0.19896,0.01174,0.01824,2.08796,1.61823,0.000983,0.000983,0.000983
115,20795.6,0.00834,0.0168,1.84711,1.30188,0.66164,0.34432,0.39311,0.20975,0.66442,0.34841,0.38957,0.19661,0.0117,0.01846,2.16439,1.64806,0.000974,0.000974,0.000974
116,20976.1,0.00853,0.01688,1.82119,1.31332,0.66755,0.34269,0.38699,0.19573,0.66958,0.34573,0.37696,0.17253,0.01198,0.01926,2.23363,1.68178,0.000965,0.000965,0.000965
117,21158.4,0.00842,0.01682,1.80712,1.26827,0.67177,0.31748,0.39598,0.21161,0.69242,0.30532,0.39194,0.18337,0.01168,0.01894,2.14349,1.63342,0.000956,0.000956,0.000956
118,21335.5,0.00854,0.01674,1.8243,1.28339,0.4955,0.41726,0.40416,0.21259,0.53571,0.35615,0.39803,0.18494,0.01177,0.019,2.16352,1.67294,0.000947,0.000947,0.000947
119,21514.6,0.00837,0.01664,1.79205,1.29139,0.63585,0.35631,0.40451,0.20645,0.62487,0.35211,0.39766,0.18546,0.01152,0.01858,2.18761,1.61526,0.000938,0.000938,0.000938
120,21695.3,0.00835,0.01667,1.82878,1.27948,0.64452,0.3572,0.3953,0.21149,0.64932,0.35986,0.39762,0.19033,0.01176,0.019,2.18161,1.64551,0.000929,0.000929,0.000929
121,21872.5,0.0085,0.01683,1.81806,1.28834,0.50714,0.42789,0.40788,0.20736,0.51335,0.42837,0.40718,0.19097,0.01163,0.01822,2.14545,1.6403,0.00092,0.00092,0.00092
122,22050.9,0.00843,0.01665,1.83919,1.2931,0.38819,0.39971,0.38856,0.20167,0.39924,0.37828,0.3826,0.18901,0.01156,0.01903,2.16102,1.61716,0.000911,0.000911,0.000911
123,22232.4,0.00838,0.01655,1.75308,1.27414,0.40944,0.39397,0.39663,0.20222,0.87284,0.3172,0.39865,0.18503,0.0117,0.01915,2.15239,1.62134,0.000902,0.000902,0.000902
124,22411.7,0.00834,0.01672,1.76792,1.2725,0.68219,0.33275,0.40444,0.20633,0.52443,0.37811,0.40872,0.19341,0.01179,0.01871,2.13538,1.64047,0.000893,0.000893,0.000893
125,22591.2,0.00838,0.01656,1.79805,1.29338,0.7457,0.30274,0.39158,0.20691,0.74701,0.30407,0.38959,0.18219,0.01167,0.01906,2.10402,1.64129,0.000884,0.000884,0.000884
126,22768.4,0.0083,0.01655,1.76889,1.25962,0.65788,0.34901,0.40948,0.21891,0.70057,0.33095,0.41,0.19582,0.01161,0.01915,2.14001,1.63131,0.000875,0.000875,0.000875
127,22953.6,0.00839,0.01669,1.76306,1.27944,0.52752,0.43235,0.41547,0.21894,0.5015,0.40999,0.3938,0.1957,0.01191,0.0188,2.15111,1.65164,0.000866,0.000866,0.000866
128,23140.1,0.00822,0.01667,1.76731,1.26766,0.4287,0.36546,0.40563,0.20994,0.42281,0.35928,0.39699,0.18907,0.01159,0.0187,2.11251,1.62233,0.000857,0.000857,0.000857
129,23323.4,0.00835,0.01667,1.74694,1.2676,0.43885,0.34064,0.39402,0.21271,0.43799,0.33935,0.39032,0.18485,0.01174,0.01868,2.10718,1.6291,0.000848,0.000848,0.000848
130,23502.9,0.00856,0.01661,1.81372,1.29996,0.5146,0.34973,0.38394,0.20047,0.64722,0.3219,0.37761,0.18071,0.01196,0.0186,2.08844,1.65312,0.000839,0.000839,0.000839
