epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,13608.8,0.91813,4.91134,0.75564,1.03314,0.43399,0.26614,0.28664,0.17214,0.16878,0.0912,0.06665,0.02416,1.53377,5.1341,1.58318,1.43116,0.000213244,0.000213244,0.000213244
75,13793.3,0.90036,4.87049,0.73133,1.02538,0.46017,0.28846,0.29425,0.17466,0.20811,0.07314,0.05594,0.02202,1.54303,5.20189,1.61965,1.46772,0.000205631,0.000205631,0.000205631
76,13969.4,0.89598,4.874,0.73001,1.02449,0.51039,0.29593,0.31505,0.18411,0.30948,0.15222,0.13505,0.0662,1.55363,5.15159,1.57248,1.48735,0.000198018,0.000198018,0.000198018
77,14138.6,0.87967,4.88951,0.7264,1.01041,0.43623,0.29088,0.29597,0.17652,0.1926,0.07295,0.05104,0.02256,1.55368,5.19453,1.64307,1.4824,0.000190404,0.000190404,0.000190404
78,14321,0.88913,4.89276,0.71444,1.01946,0.59,0.24665,0.29296,0.17335,0.1833,0.12627,0.07342,0.02852,1.57036,5.15139,1.56209,1.50692,0.000182791,0.000182791,0.000182791
79,14505.3,0.87422,4.85691,0.70206,1.01204,0.5366,0.25081,0.29535,0.17898,0.21575,0.09301,0.07245,0.03574,1.57266,5.16174,1.60209,1.50823,0.000175178,0.000175178,0.000175178
80,14710.3,0.85328,4.85371,0.68639,0.99205,0.5429,0.25019,0.29159,0.17973,0.21715,0.09308,0.08048,0.03232,1.51403,5.1503,1.61888,1.47175,0.000167565,0.000167565,0.000167565
81,14896.3,0.84359,4.84788,0.67946,1.00033,0.55606,0.22647,0.28597,0.1625,0.22239,0.06333,0.0492,0.01854,1.61217,5.15214,1.68679,1.52033,0.000159952,0.000159952,0.000159952
82,15106.1,0.84462,4.80539,0.68035,0.99679,0.43325,0.29379,0.306,0.18008,0.29837,0.08052,0.07123,0.0292,1.56254,5.15945,1.58183,1.50021,0.000152339,0.000152339,0.000152339
83,15299.1,0.84522,4.89427,0.68094,1.00145,0.50578,0.28447,0.31006,0.17727,0.24202,0.08976,0.07172,0.02907,1.526,5.10317,1.60771,1.48787,0.000144726,0.000144726,0.000144726
84,15484.6,0.83815,4.83161,0.64725,1.00209,0.47546,0.30294,0.31262,0.18314,0.26653,0.09488,0.0808,0.033,1.5764,5.16125,1.64298,1.50944,0.000137113,0.000137113,0.000137113
85,15679,0.84058,4.80923,0.68244,1.00922,0.53968,0.27226,0.30749,0.18585,0.26585,0.13162,0.10709,0.04718,1.56091,5.15432,1.55787,1.5159,0.0001295,0.0001295,0.0001295
86,15842.9,0.84306,4.79806,0.65235,0.98873,0.52256,0.25311,0.30256,0.17923,0.38123,0.1101,0.08923,0.03959,1.55502,5.21398,1.63482,1.49376,0.000121887,0.000121887,0.000121887
87,15998,0.8193,4.82974,0.63574,0.98251,0.45053,0.28276,0.2978,0.16015,0.28076,0.08575,0.07035,0.0322,1.59447,5.17329,1.70857,1.52747,0.000114273,0.000114273,0.000114273
88,16199.1,0.83047,4.79766,0.64974,0.98924,0.68452,0.25904,0.30207,0.16617,0.35422,0.09023,0.06895,0.03318,1.62073,5.25585,1.66309,1.54876,0.00010666,0.00010666,0.00010666
89,16374.9,0.80818,4.83508,0.63711,0.98602,0.54043,0.2766,0.31751,0.1836,0.29559,0.10979,0.09413,0.04591,1.58241,5.19922,1.62355,1.52534,9.90472e-05,9.90472e-05,9.90472e-05
