epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,20046.2,0.00768,0.0155,1.62729,1.24179,0.64186,0.34038,0.39062,0.22674,0.65348,0.35487,0.39584,0.19185,0.01145,0.01902,2.13879,1.69816,0.00046,0.00046,0.00046
92,20271.4,0.00779,0.0156,1.58922,1.27205,0.44635,0.34923,0.38715,0.23384,0.45204,0.38891,0.39865,0.19951,0.01147,0.01819,2.11284,1.70371,0.000454,0.000454,0.000454
93,20497.1,0.00785,0.01583,1.60156,1.24886,0.67692,0.34765,0.38395,0.2276,0.68759,0.3616,0.39487,0.19751,0.01132,0.01865,2.0716,1.66001,0.000448,0.000448,0.000448
94,20723.1,0.0078,0.01598,1.60398,1.25202,0.36663,0.40003,0.37448,0.2261,0.37097,0.40664,0.3764,0.1923,0.01117,0.01826,2.10211,1.66005,0.000442,0.000442,0.000442
95,20946.9,0.00798,0.01596,1.6381,1.27036,0.36723,0.43699,0.41366,0.2378,0.37203,0.444,0.41343,0.20571,0.01122,0.01814,2.01941,1.65797,0.000436,0.000436,0.000436
96,21169.9,0.00777,0.01591,1.57262,1.24622,0.34688,0.44058,0.39898,0.23091,0.47971,0.4331,0.40126,0.19859,0.01133,0.01846,2.09474,1.68031,0.00043,0.00043,0.00043
97,21391.7,0.00773,0.01574,1.62278,1.25664,0.32701,0.43976,0.39608,0.22215,0.34366,0.37405,0.38872,0.1918,0.01139,0.01823,2.08339,1.68516,0.000424,0.000424,0.000424
98,21611.4,0.00762,0.01549,1.56725,1.23498,0.51689,0.36485,0.39252,0.22638,0.52457,0.37057,0.39747,0.19696,0.01125,0.01863,2.07075,1.66418,0.000418,0.000418,0.000418
99,21834.5,0.00768,0.01583,1.55355,1.23862,0.58576,0.38045,0.41945,0.2392,0.59498,0.38925,0.42426,0.20937,0.01141,0.01816,2.10584,1.67904,0.000412,0.000412,0.000412
100,22053.7,0.00766,0.01572,1.57412,1.24207,0.54741,0.39702,0.41426,0.24231,0.55612,0.40332,0.41486,0.2037,0.01136,0.01857,2.05825,1.67587,0.000406,0.000406,0.000406
101,22273.2,0.00767,0.01576,1.57051,1.23511,0.69648,0.33798,0.40592,0.23854,0.71179,0.34226,0.41594,0.20368,0.01136,0.01895,2.04351,1.67787,0.0004,0.0004,0.0004
102,22497.4,0.00777,0.01574,1.58358,1.23965,0.39121,0.45739,0.42088,0.24248,0.39962,0.4637,0.42402,0.21353,0.01128,0.01799,2.05701,1.67419,0.000394,0.000394,0.000394
103,22720,0.00763,0.01544,1.51662,1.23228,0.40309,0.46279,0.42939,0.24862,0.40947,0.47452,0.43058,0.20957,0.01136,0.01844,2.08475,1.69142,0.000388,0.000388,0.000388
104,22945.1,0.0077,0.01579,1.57591,1.24935,0.43465,0.43419,0.42073,0.2541,0.43981,0.44132,0.41877,0.21065,0.01121,0.01873,2.02302,1.67737,0.000382,0.000382,0.000382
105,23171.7,0.00762,0.01559,1.55617,1.23738,0.34447,0.46213,0.41841,0.24302,0.35392,0.47522,0.42746,0.21185,0.01119,0.01833,2.05372,1.67401,0.000376,0.000376,0.000376
106,23401.8,0.00765,0.01576,1.57095,1.23533,0.40432,0.36575,0.39698,0.2385,0.39899,0.37921,0.40358,0.20129,0.01123,0.01887,2.11869,1.66054,0.00037,0.00037,0.00037
107,23627.1,0.00779,0.01579,1.61395,1.24897,0.32852,0.4786,0.43237,0.25751,0.33347,0.48103,0.43538,0.22261,0.01112,0.01848,2.06879,1.6546,0.000364,0.000364,0.000364
108,23847.3,0.00777,0.01586,1.58135,1.24247,0.37328,0.42483,0.41316,0.24005,0.37921,0.43233,0.41952,0.20702,0.01125,0.01881,2.09808,1.67459,0.000358,0.000358,0.000358
109,24066.9,0.00762,0.01565,1.53381,1.23414,0.32342,0.42219,0.42238,0.24705,0.51418,0.39784,0.42607,0.21364,0.01135,0.01819,2.05082,1.6755,0.000352,0.000352,0.000352
110,24286.7,0.00776,0.01571,1.53905,1.22895,0.34666,0.46998,0.43024,0.26276,0.35929,0.48034,0.43899,0.23059,0.01129,0.01828,2.06711,1.68034,0.000346,0.000346,0.000346
111,24506.3,0.00777,0.01595,1.56458,1.2504,0.36392,0.42164,0.39386,0.2373,0.37859,0.43603,0.41308,0.20559,0.01122,0.01816,2.06902,1.66034,0.00034,0.00034,0.00034
112,24731.1,0.00772,0.01582,1.59051,1.24002,0.46264,0.35429,0.42249,0.25629,0.47798,0.36618,0.4322,0.22297,0.01121,0.01868,2.11748,1.66062,0.000334,0.000334,0.000334
113,24952.5,0.00774,0.01589,1.55062,1.24754,0.61851,0.3136,0.40987,0.24213,0.38257,0.4289,0.42029,0.21621,0.01131,0.01828,2.07477,1.67526,0.000328,0.000328,0.000328
